代碼,類型,貨號,名稱,已發佈,是特色商品？,目錄的可見度,簡短描述,描述,折扣價開始日期,折扣價結束日期,稅金狀態,稅率類別,有庫存？,庫存,允許無庫存下單嗎？,單獨銷售?,"重量 (kg)","長 (cm)","寬 (cm)","高 (cm)",允許客戶評論嗎？,購買備註,促銷價,原價,分類,標籤,運送類別,圖片,下載限制,下載點過期天數,上層,組合商品,向上銷售,交叉型,外部網址,底部文字,位置,"屬性 1 名稱","屬性 1 值","屬性 1 可見","屬性 1 全域","屬性 1 預設","Meta: _wc_points_earned","Meta: _wc_points_max_discount","Meta: _jetpack_dont_email_post_to_subs","Meta: _rewardsystemcheckboxvalue","Meta: _rewardsystem_options","Meta: _rewardsystempoints","Meta: _rewardsystempercent","Meta: _referral_rewardsystem_options","Meta: _referralrewardsystempoints","Meta: _referralrewardsystempercent","Meta: _piereg_post_restriction","Meta: _wapo_disable_global","Meta: _wp_old_date","Meta: _low_stock_amount","Meta: fb_product_description","Meta: _wc_memberships_use_custom_product_viewing_restricted_message","Meta: _wc_memberships_use_custom_product_purchasing_restricted_message","Meta: _wc_memberships_force_public","Meta: _wc_memberships_exclude_discounts","Meta: fb_visibility","Meta: fb_product_group_id","Meta: fb_product_item_id","Meta: _wc_max_points_earned","Meta: _wc_min_points_earned","Meta: fb_image","Meta: _wpas_done_all","Meta: _affwp_woocommerce_product_rate"
17217,variable,A01-2,寵物皮膚專用艾毛寶(瓶裝),1,0,visible,"<a href=""https://pethospital.com.tw/lineat"" target=""_blank"" rel=""noopener""><img class=""aligncenter"" src=""https://scdn.line-apps.com/n/line_add_friends/btn/zh-Hant.png"" alt=""加入好友"" width=""232"" height=""36"" border=""0"" /></a>
<a href=""https://wa.me/886980347570"" target=""_blank"" rel=""noopener""><img class=""aligncenter"" src=""/wp-content/uploads/2019/06/whatsapp_o0611.png"" alt=""whatsapp"" width=""232"" height=""36"" border=""0"" /></a>

唯一推薦皮膚保健品：艾毛寶超值新瓶裝

每瓶含160顆艾毛寶，優惠直降17%","[block id=""shipping-weight""]

<h5>法鬥唯一推薦的皮膚保健品：艾毛寶</h5>
<!-- <a href=""/imbdescription?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10555"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-02.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/imbhowtouse?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10556"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-03.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/imbrecommend?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10557"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-04.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/imbtestimonial?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10554"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-01.jpg"" alt="""" width=""428"" height=""144"" /></a> -->

<img class=""alignnone size-medium wp-image-10506"" src=""https://pethospital.com.tw/wp-content/uploads/2018/06/imbpd-5.jpg"" alt="""" width=""960"" height=""1581"" />

<img class=""alignnone size-medium wp-image-10495"" src=""https://pethospital.com.tw/wp-content/uploads/2018/06/imbwy-6.jpg"" alt="""" width=""960"" height=""4101"" />

[block id=""about_us""]",,,taxable,,1,,0,0,,,,,0,,,,"保健食品, 優惠組合",過敏,,"https://pethospital.com.tw/wp-content/uploads/2021/12/xPETs_pic19.jpg, https://pethospital.com.tw/wp-content/uploads/2016/09/MIN_8622v2.jpg, https://pethospital.com.tw/wp-content/uploads/2016/09/imb_13v2.jpg",,,,,C01,"P01, C01, M150N90",,,3,規格,"單瓶艾毛寶, 瓶裝艾毛寶加少賴皮",1,0,瓶裝艾毛寶加少賴皮,160,600,1,yes,2,,2,2,,1,,no,2016-09-01,,,no,no,no,no,1,,,,,,,
17255,variation,,"寵物皮膚專用艾毛寶 - 40顆盒裝",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,1200,1500,,,,https://pethospital.com.tw/wp-content/uploads/2019/10/xPETs_pic14.jpg,,,A01,,,"M150N90, P01, A01-2, C01",,,1,規格,40顆盒裝,,0,,50,600,,,,,,,,,,,,,,,,,,1,,,,,,,
17256,variation,,"寵物皮膚專用艾毛寶 - 160顆罐裝(84折)",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,4000,4800,,,,https://pethospital.com.tw/wp-content/uploads/2021/12/xPETs_pic19.jpg,,,A01,,,"M150N90, P01, A01-2, C01",,,2,規格,160顆罐裝(84折),,0,,200,600,,,,,,,,,,,,,,,,,,1,,,,,,,
18454,variation,,"寵物皮膚專用艾毛寶 - 160顆罐裝 少賴皮",1,0,visible,,"<span style=""color:red"">限時</span>促銷價：
瓶裝艾毛寶加<span style=""color:red"">1元多贈一瓶少賴皮</span>，<strong>4001元</strong>就能1 1吃加洗。

瓶裝艾毛寶加購少賴皮只要300元(少賴皮原價450元)
少賴皮體積較大，配送香港會以1kg運費計算，有問題請與聯絡我們。",,,taxable,parent,1,,0,0,,,,,0,,4001,5250,,,,https://pethospital.com.tw/wp-content/uploads/2018/08/031306.jpg,,,A01,,,"M150N90, P01, A01-2, C01",,,3,規格,"160顆罐裝 少賴皮",,0,,200,600,,,,,,,,,,,,,,,,,,,,,,,,,
18455,simple,AB1-1,艾毛寶160顆瓶裝＋少賴皮(少賴皮效期2027/1，買一贈一)優惠組,1,0,visible,"<span style=""color:red"">限時</span>促銷價：
瓶裝艾毛寶<span style=""color:red"">加1元多贈一瓶少賴皮</span>，<strong>4001元</strong>就能1 1吃加洗。

原優惠價艾毛寶4000元＋少賴皮優惠價450元
兩者合購只要4300元喲！！！等於少賴皮只要300元！
<a href=""https://pethospital.com.tw/lineat"" target=""_blank"" rel=""noopener""><img class=""aligncenter"" src=""https://scdn.line-apps.com/n/line_add_friends/btn/zh-Hant.png"" alt=""加入好友"" width=""232"" height=""36"" border=""0"" /></a>
<a href=""https://pethospital.com.tw/messenger"" target=""_blank"" rel=""noopener""><img class=""wp-image-9685 size-full"" src=""https://pethospital.com.tw/wp-content/uploads/2017/11/messengerfb.png"" alt=""messenger: 高藥師"" width=""72"" height=""72"" />聯繫高藥師Facebook</a>","[block id=""shipping-weight""]

<h5>建議購買此優惠組，給寵物寶貝最好的呵護！</h5>
<a href=""https://wa.me/886980347570"" target=""_blank"" rel=""noopener""><strong>海外配送(指台灣、香港、澳門以外的地區)貨運商禁運液體，如需購買請先與我聯絡，謝謝。</strong></a>
<h5>法鬥唯一推薦的皮膚保健品：艾毛寶</h5>
<!-- <a href=""/imbdescription?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10555"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-02.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/imbhowtouse?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10556"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-03.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/imbrecommend?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10557"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-04.jpg"" alt="""" width=""428"" height=""144"" /></a>  <a href=""/imbtestimonial?amp"" target=""_blank"" rel=""noopener""><img class=""alignnone wp-image-10554"" src=""https://img.xpets.org/wp-content/uploads/2016/09/ilink-01.jpg"" alt="""" width=""428"" height=""144"" /></a> -->

<img class=""alignnone size-medium wp-image-10506"" src=""https://pethospital.com.tw/wp-content/uploads/2018/06/imbpd-5.jpg"" alt="""" width=""960"" height=""1581"" />

<img class=""alignnone size-medium wp-image-10495"" src=""https://pethospital.com.tw/wp-content/uploads/2018/06/imbwy-6.jpg"" alt="""" width=""960"" height=""4101"" />

[block id=""about_us""]",,,taxable,,1,,0,0,,,,,0,,4001,5250,"保健食品, 優惠組合",,,"https://pethospital.com.tw/wp-content/uploads/2018/08/031306.jpg, https://pethospital.com.tw/wp-content/uploads/2016/09/MIN_8622v2.jpg",,,,,,P01,,,5,,,,,,200,600,,,,,,,,,,no,2017-06-21,,,no,no,no,no,1,3225257597502139,3225257630835469,,,,1,
18545,simple,,寵物毛髮專用頂太豐,0,0,hidden,,,,,taxable,,0,,0,0,,,,,0,,,3000,試用品,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
18561,simple,,寵物護肝專用甘寧,0,0,hidden,,,,,taxable,,0,,0,0,,,,,0,,,2500,試用品,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
18563,simple,,寵物抗敏專用罩敏,0,0,hidden,,,,,taxable,,0,,0,0,,,,,0,,,3200,試用品,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
18567,simple,,寵物止癢專用賽西施,0,0,hidden,,,,,taxable,,0,,0,0,,,,,0,,,2500,試用品,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
18575,simple,,寵物活力專用連城璧,0,0,hidden,,,,,taxable,,0,,0,0,,,,,0,,,1000,試用品,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
18592,simple,,寵物顧眼專用光明頂,0,0,hidden,,,,,taxable,,0,,0,0,,,,,0,,,1400,試用品,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
18593,simple,,寵物補鈣專用求千尺,0,0,hidden,,,,,taxable,,0,,0,0,,,,,0,,,1400,試用品,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
19622,variation,,"寵物皮膚專用艾毛寶(瓶裝) - 單瓶艾毛寶",1,0,visible,,,,,taxable,parent,1,,0,0,,,,,0,,4000,4800,,,,https://pethospital.com.tw/wp-content/uploads/2021/12/xPETs_pic19.jpg,,,A01-2,,,"P01, C01, M150N90",,,1,規格,單瓶艾毛寶,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19623,variation,,"寵物皮膚專用艾毛寶(瓶裝) - 瓶裝艾毛寶加少賴皮",1,0,visible,,"<span style=""color:red"">限時</span>促銷價：
瓶裝艾毛寶<span style=""color:red"">加1元多贈一瓶少賴皮</span>，<strong>4001元</strong>就能1 1吃加洗。",,,taxable,parent,1,,0,0,,,,,0,,4001,4450,,,,https://pethospital.com.tw/wp-content/uploads/2018/08/031306.jpg,,,A01-2,,,"P01, C01, M150N90",,,2,規格,瓶裝艾毛寶加少賴皮,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19624,variation,,"少賴皮洗毛精(效期2027/1)買一贈一 - 瓶裝艾毛寶加少賴皮",1,0,visible,,"<span style=""color:red"">限時</span>促銷價： 瓶裝艾毛寶<span style=""color:red"">加1元多贈一瓶少賴皮</span>，<strong>4001元</strong>就能1 1吃加洗。",,,taxable,parent,1,,0,0,,,,,0,,4001,4450,,,,https://pethospital.com.tw/wp-content/uploads/2018/08/031306.jpg,,,C01,,,"P01, A01, M150N90",,,3,數量,瓶裝艾毛寶加少賴皮,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20052,simple,,M瓶裝艾毛寶兩件組,0,0,catalog,,,,,taxable,,0,,0,0,,,,,0,,,8000,優惠組合,,,https://pethospital.com.tw/wp-content/uploads/2024/12/艾毛寶瓶2.jpg,,,,,,,,,18,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
20054,simple,,M瓶裝艾毛寶兩件搭購少賴皮,0,0,catalog,,,,,taxable,,0,,0,0,,,,,0,,,8450,優惠組合,,,https://pethospital.com.tw/wp-content/uploads/2024/12/艾毛寶瓶2賴1.jpg,,,,,,,,,17,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
20056,simple,,M瓶裝艾毛寶三件組,0,0,catalog,,,,,taxable,,0,,0,0,,,,,0,,,12000,優惠組合,,,https://pethospital.com.tw/wp-content/uploads/2024/12/艾毛寶瓶3.jpg,,,,,,,,,15,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
20058,simple,,M瓶裝艾毛寶三件加購少賴皮,0,0,catalog,,,,,taxable,,0,,0,0,,,,,0,,,12450,優惠組合,,,https://pethospital.com.tw/wp-content/uploads/2024/12/艾毛寶瓶3賴1.jpg,,,,,,,,,14,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
20060,simple,,M瓶裝艾毛寶五件,0,0,catalog,,,,,taxable,,0,,0,0,,,,,0,,,20000,優惠組合,,,https://pethospital.com.tw/wp-content/uploads/2024/12/艾毛寶瓶5.jpg,,,,,,,,,16,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
20063,simple,,M瓶裝艾毛寶加購草上飛,0,0,catalog,,,,,taxable,,0,,0,0,,,,,0,,,6000,優惠組合,,,https://pethospital.com.tw/wp-content/uploads/2024/12/艾毛寶瓶裝草上飛.jpg,,,,,,,,,19,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
20065,simple,,M盒裝艾毛寶兩件,0,0,catalog,,,,,taxable,,0,,0,0,,,,,0,,,2400,優惠組合,,,https://pethospital.com.tw/wp-content/uploads/2024/12/艾毛寶盒裝2.jpg,,,,,,,,,22,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
20067,simple,,M盒裝艾毛寶三件,0,0,catalog,,,,,taxable,,0,,0,0,,,,,0,,,3600,優惠組合,,,https://pethospital.com.tw/wp-content/uploads/2024/12/艾毛寶盒裝3.jpg,,,,,,,,,20,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
20069,simple,,M盒裝艾毛寶五件,0,0,catalog,,,,,taxable,,0,,0,0,,,,,0,,,7200,優惠組合,,,https://pethospital.com.tw/wp-content/uploads/2024/12/艾毛寶盒裝5.jpg,,,,,,,,,21,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
20070,simple,,M草上飛兩件,0,0,catalog,,,,,taxable,,0,,0,0,,,,,0,,,4000,優惠組合,,,https://pethospital.com.tw/wp-content/uploads/2024/12/草上飛2.jpg,,,,,,,,,25,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
20072,simple,,M草上飛兩件加購少賴皮,0,0,catalog,,,,,taxable,,0,,0,0,,,,,0,,,4450,優惠組合,,,https://pethospital.com.tw/wp-content/uploads/2024/12/草上飛2賴1.jpg,,,,,,,,,26,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
20074,simple,,M草上飛三件,0,0,catalog,,,,,taxable,,0,,0,0,,,,,0,,,6000,優惠組合,,,https://pethospital.com.tw/wp-content/uploads/2024/12/草上飛3.jpg,,,,,,,,,23,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
20076,simple,,M草上飛五件,0,0,catalog,,,,,taxable,,0,,0,0,,,,,0,,,10000,優惠組合,,,https://pethospital.com.tw/wp-content/uploads/2024/12/草上飛5.jpg,,,,,,,,,24,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
20078,simple,,M黑木童兩件,0,0,catalog,,,,,taxable,,0,,0,0,,,,,0,,,4000,優惠組合,,,https://pethospital.com.tw/wp-content/uploads/2024/12/黑2.jpg,,,,,,,,,29,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
20080,simple,,M黑木童兩件加購少賴皮,0,0,catalog,,,,,taxable,,0,,0,0,,,,,0,,,4450,優惠組合,,,https://pethospital.com.tw/wp-content/uploads/2024/12/黑2賴1.jpg,,,,,,,,,30,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
20082,simple,,M黑木童三件,0,0,catalog,,,,,taxable,,0,,0,0,,,,,0,,,6000,優惠組合,,,https://pethospital.com.tw/wp-content/uploads/2024/12/黑3.jpg,,,,,,,,,27,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
20084,simple,,M黑木童五件,0,0,catalog,,,,,taxable,,0,,0,0,,,,,0,,,10000,優惠組合,,,https://pethospital.com.tw/wp-content/uploads/2024/12/黑5.jpg,,,,,,,,,28,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
20086,simple,,M黑木童加購草上飛,0,0,catalog,,,,,taxable,,0,,0,0,,,,,0,,,4000,優惠組合,,,https://pethospital.com.tw/wp-content/uploads/2024/12/黑木瞳1草1.jpg,,,,,,,,,31,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,
